연월,가스가격,전기가격,상대가격
2007-01-01,72.11,91.34,78.95
2007-02-01,72.11,91.34,78.95
2007-03-01,70.48,91.34,77.16
2007-04-01,70.48,91.34,77.16
2007-05-01,73.18,91.34,80.12
2007-06-01,73.18,91.34,80.12
2007-07-01,75.19,91.34,82.32
2007-08-01,75.19,91.34,82.32
2007-09-01,80.03,91.34,87.62
2007-10-01,80.03,91.34,87.62
2007-11-01,82.05,91.34,89.83
2007-12-01,82.11,91.34,89.89
2008-01-01,79.09,91.34,86.59
2008-02-01,79.09,91.34,86.59
2008-03-01,79.03,91.34,86.52
2008-04-01,80.73,91.34,88.38
2008-05-01,80.79,91.34,88.45
2008-06-01,80.85,91.34,88.52
2008-07-01,80.91,91.34,88.59
2008-08-01,80.91,91.34,88.59
2008-09-01,80.85,91.34,88.52
2008-10-01,80.91,91.34,88.59
2008-11-01,84.56,91.34,92.58
2008-12-01,82.80,91.34,90.65
2009-01-01,82.61,91.34,90.45
2009-02-01,82.61,91.34,90.45
2009-03-01,84.37,91.34,92.37
2009-04-01,84.37,91.34,92.37
2009-05-01,84.25,91.34,92.23
2009-06-01,84.31,91.34,92.30
2009-07-01,88.46,91.34,96.85
2009-08-01,88.52,91.34,96.92
2009-09-01,88.52,91.34,96.92
2009-10-01,88.58,91.34,96.98
2009-11-01,88.65,91.34,97.05
2009-12-01,88.71,91.34,97.12
2010-01-01,88.80,91.35,97.21
2010-02-01,88.80,91.35,97.21
2010-03-01,88.80,91.35,97.21
2010-04-01,88.80,91.35,97.21
2010-05-01,88.80,91.35,97.21
2010-06-01,88.80,91.35,97.21
2010-07-01,88.80,91.35,97.21
2010-08-01,88.71,93.19,95.19
2010-09-01,93.64,93.19,100.48
2010-10-01,93.64,93.19,100.48
2010-11-01,89.52,93.19,96.06
2010-12-01,89.52,93.19,96.06
2011-01-01,93.64,93.19,100.48
2011-02-01,93.64,93.19,100.48
2011-03-01,93.64,93.19,100.48
2011-04-01,93.64,93.19,100.48
2011-05-01,97.95,93.19,105.10
2011-06-01,97.95,93.19,105.10
2011-07-01,97.95,93.19,105.10
2011-08-01,97.95,95.03,103.07
2011-09-01,97.95,95.03,103.07
2011-10-01,102.79,95.03,108.16
2011-11-01,102.70,95.03,108.07
2011-12-01,102.70,95.03,108.07
2012-01-01,102.72,95.02,108.10
2012-02-01,102.77,95.02,108.15
2012-03-01,102.83,95.02,108.21
2012-04-01,102.83,95.02,108.21
2012-05-01,102.84,95.02,108.23
2012-06-01,102.83,95.02,108.21
2012-07-01,107.60,95.02,113.23
2012-08-01,107.50,97.08,110.74
2012-09-01,107.50,97.08,110.74
2012-10-01,107.53,97.08,110.77
2012-11-01,107.53,97.08,110.77
2012-12-01,107.53,97.08,110.77
2013-01-01,107.53,99.03,108.59
2013-02-01,107.53,99.03,108.59
2013-03-01,111.91,99.03,113.01
2013-04-01,111.91,99.03,113.01
2013-05-01,111.88,99.03,112.98
2013-06-01,111.88,99.03,112.98
2013-07-01,111.88,99.03,112.97
2013-08-01,113.02,99.03,114.13
2013-09-01,113.09,99.03,114.19
2013-10-01,113.09,99.03,114.19
2013-11-01,113.10,101.71,111.20
2013-12-01,113.10,101.71,111.20
2014-01-01,119.21,101.71,117.21
2014-02-01,119.21,101.71,117.21
2014-03-01,119.21,101.71,117.21
2014-04-01,119.21,101.71,117.21
2014-05-01,119.21,101.71,117.21
2014-06-01,119.21,101.71,117.21
2014-07-01,118.15,101.71,116.17
2014-08-01,118.45,101.71,116.46
2014-09-01,118.45,101.71,116.46
2014-10-01,118.50,101.71,116.51
2014-11-01,118.50,101.71,116.51
2014-12-01,118.50,101.71,116.51
2015-01-01,111.91,101.62,110.13
